cancer_site,state,race,count,population,crude_rate_100k,crude_rate_per_100k
I(b) Acute myeloid leukemias,Minnesota,White,200,27365424,0.73,0.73
I(c) Chronic myeloproliferative diseases,Minnesota,White,43,27365424,0.16000000000000003,0.16
I(d) Myelodysplastic syndrome and other myeloproliferative,Minnesota,White,38,27365424,0.13999999999999999,0.14
I(e) Unspecified and other specified leukemias,Minnesota,White,34,27365424,0.12,0.12
II Lymphoma and reticuloendothelial neoplasms,Minnesota,White,883,27365424,3.23,3.23
II(a) Hodgkin lymphomas,Minnesota,White,397,27365424,1.4500000000000002,1.45
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Minnesota,White,275,27365424,1,1
II(c) Burkitt lymphoma,Minnesota,White,78,27365424,0.29,0.29
II(d) Miscellaneous lymphoreticular neoplasms,Minnesota,White,125,27365424,0.45999999999999996,0.46
III CNS and misc intracranial and intraspinal neoplasms,Minnesota,White,866,27365424,3.16,3.16
III(a) Ependymomas and choroid plexus tumor,Minnesota,White,87,27365424,0.32000000000000006,0.32
III(b) Astrocytomas,Minnesota,White,509,27365424,1.8600000000000003,1.86
III(c) Intracranial and intraspinal embryonal tumors,Minnesota,White,156,27365424,0.5700000000000001,0.57
III(d) Other gliomas,Minnesota,White,95,27365424,0.35000000000000003,0.35
IV Sympathetic nervous system tumors,Minnesota,White,269,27365424,0.9800000000000001,0.98
IV(a) Neuroblastoma and ganglioneuroblastoma,Minnesota,White,262,27365424,0.96,0.96
V Retinoblastoma,Minnesota,White,64,27365424,0.22999999999999998,0.23
VI Renal tumors,Minnesota,White,233,27365424,0.8500000000000001,0.85
VI(a) Nephroblastoma and other nonepithelial renal tumors,Minnesota,White,219,27365424,0.8,0.8
VII Hepatic tumor,Minnesota,White,79,27365424,0.29,0.29
VII(a) Hepatoblastoma,Minnesota,White,60,27365424,0.22000000000000003,0.22
VII(b) Hepatic carcinomas,Minnesota,White,19,27365424,0.06999999999999999,0.07
VIII Malignant bone tumors,Minnesota,White,253,27365424,0.9199999999999999,0.92
VIII(a) Osteosarcomas,Minnesota,White,133,27365424,0.49000000000000005,0.49
VIII(b) Chondrosarcomas,Minnesota,White,22,27365424,0.08000000000000002,0.08
VIII(c) Ewing tumor and related sarcomas of bone,Minnesota,White,89,27365424,0.33,0.33
IX Soft-tissue sarcomas,Minnesota,White,334,27365424,1.22,1.22
IX(a) Rhabdomyosarcomas,Minnesota,White,116,27365424,0.42000000000000004,0.42
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Minnesota,White,42,27365424,0.15000000000000002,0.15
IX(d) Other specified soft tissue sarcomas,Minnesota,White,153,27365424,0.5599999999999999,0.56
IX(e) Unspecified soft tissue sarcomas,Minnesota,White,23,27365424,0.08000000000000002,0.08
"X Germ-cell, trophoblastic and other gonadal neoplasms",Minnesota,White,353,27365424,1.29,1.29
X(a) Intracranial & intraspinal germ cell tumors,Minnesota,White,46,27365424,0.17,0.17
X(b) Extracranial & extragonadal germ cell tumors,Minnesota,White,44,27365424,0.16000000000000003,0.16
X(c) Malignant gonadal germ cell tumors,Minnesota,White,247,27365424,0.9,0.9
XI Carcinomas and other malignant epithelial neoplasms,Minnesota,White,594,27365424,2.17,2.17
XI(b) Thyroid carcinomas,Minnesota,White,242,27365424,0.8800000000000001,0.88
XI(d) Malignant melanomas,Minnesota,White,164,27365424,0.6000000000000001,0.6
XI(f) Other and unspecified carcinomas,Minnesota,White,168,27365424,0.61,0.61
XII Other and unspecified malignant neoplasms,Minnesota,White,21,27365424,0.08000000000000002,0.08
XII(a) Other specified malignant tumors,Minnesota,White,19,27365424,0.06999999999999999,0.07
I Leukemia,Mississippi,Black or African American,204,6965525,2.93,2.93
I(a) Lymphoid leukemias,Mississippi,Black or African American,128,6965525,1.8399999999999999,1.84
I(b) Acute myeloid leukemias,Mississippi,Black or African American,43,6965525,0.6200000000000001,0.62
I(c) Chronic myeloproliferative diseases,Mississippi,Black or African American,19,6965525,0.27,0.27
II Lymphoma and reticuloendothelial neoplasms,Mississippi,Black or African American,150,6965525,2.15,2.15
II(a) Hodgkin lymphomas,Mississippi,Black or African American,78,6965525,1.1199999999999999,1.12
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Mississippi,Black or African American,61,6965525,0.8800000000000001,0.88
III CNS and misc intracranial and intraspinal neoplasms,Mississippi,Black or African American,163,6965525,2.34,2.34
III(b) Astrocytomas,Mississippi,Black or African American,85,6965525,1.22,1.22
III(c) Intracranial and intraspinal embryonal tumors,Mississippi,Black or African American,33,6965525,0.47000000000000003,0.47
III(d) Other gliomas,Mississippi,Black or African American,26,6965525,0.37000000000000005,0.37
IV Sympathetic nervous system tumors,Mississippi,Black or African American,36,6965525,0.52,0.52
IV(a) Neuroblastoma and ganglioneuroblastoma,Mississippi,Black or African American,33,6965525,0.47000000000000003,0.47
V Retinoblastoma,Mississippi,Black or African American,18,6965525,0.26,0.26
VI Renal tumors,Mississippi,Black or African American,60,6965525,0.86,0.86
VI(a) Nephroblastoma and other nonepithelial renal tumors,Mississippi,Black or African American,50,6965525,0.7200000000000001,0.72
VIII Malignant bone tumors,Mississippi,Black or African American,51,6965525,0.73,0.73
VIII(a) Osteosarcomas,Mississippi,Black or African American,38,6965525,0.55,0.55
IX Soft-tissue sarcomas,Mississippi,Black or African American,72,6965525,1.03,1.03
IX(a) Rhabdomyosarcomas,Mississippi,Black or African American,31,6965525,0.45,0.45
IX(d) Other specified soft tissue sarcomas,Mississippi,Black or African American,30,6965525,0.43,0.43
"X Germ-cell, trophoblastic and other gonadal neoplasms",Mississippi,Black or African American,44,6965525,0.63,0.63
X(c) Malignant gonadal germ cell tumors,Mississippi,Black or African American,25,6965525,0.36000000000000004,0.36
XI Carcinomas and other malignant epithelial neoplasms,Mississippi,Black or African American,67,6965525,0.96,0.96
XI(b) Thyroid carcinomas,Mississippi,Black or African American,22,6965525,0.32000000000000006,0.32
XI(f) Other and unspecified carcinomas,Mississippi,Black or African American,30,6965525,0.43,0.43
I Leukemia,Mississippi,White,368,8417311,4.37,4.37
I(a) Lymphoid leukemias,Mississippi,White,268,8417311,3.18,3.18
I(b) Acute myeloid leukemias,Mississippi,White,66,8417311,0.78,0.78
I(c) Chronic myeloproliferative diseases,Mississippi,White,22,8417311,0.26,0.26
II Lymphoma and reticuloendothelial neoplasms,Mississippi,White,208,8417311,2.47,2.47
II(a) Hodgkin lymphomas,Mississippi,White,87,8417311,1.03,1.03
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Mississippi,White,64,8417311,0.76,0.76
II(c) Burkitt lymphoma,Mississippi,White,24,8417311,0.29,0.29
II(d) Miscellaneous lymphoreticular neoplasms,Mississippi,White,31,8417311,0.37000000000000005,0.37
III CNS and misc intracranial and intraspinal neoplasms,Mississippi,White,270,8417311,3.2100000000000004,3.21
III(a) Ependymomas and choroid plexus tumor,Mississippi,White,18,8417311,0.21000000000000002,0.21
III(b) Astrocytomas,Mississippi,White,138,8417311,1.64,1.64
III(c) Intracranial and intraspinal embryonal tumors,Mississippi,White,53,8417311,0.63,0.63
III(d) Other gliomas,Mississippi,White,50,8417311,0.5900000000000001,0.59
IV Sympathetic nervous system tumors,Mississippi,White,70,8417311,0.8300000000000001,0.83
IV(a) Neuroblastoma and ganglioneuroblastoma,Mississippi,White,67,8417311,0.8,0.8
V Retinoblastoma,Mississippi,White,28,8417311,0.33,0.33
VI Renal tumors,Mississippi,White,45,8417311,0.53,0.53
VI(a) Nephroblastoma and other nonepithelial renal tumors,Mississippi,White,41,8417311,0.49000000000000005,0.49
VII Hepatic tumor,Mississippi,White,21,8417311,0.25,0.25
VII(a) Hepatoblastoma,Mississippi,White,16,8417311,0.19,0.19
VIII Malignant bone tumors,Mississippi,White,68,8417311,0.81,0.81
VIII(a) Osteosarcomas,Mississippi,White,35,8417311,0.42000000000000004,0.42
VIII(c) Ewing tumor and related sarcomas of bone,Mississippi,White,26,8417311,0.31000000000000005,0.31
IX Soft-tissue sarcomas,Mississippi,White,83,8417311,0.9900000000000001,0.99
IX(a) Rhabdomyosarcomas,Mississippi,White,33,8417311,0.39,0.39
IX(d) Other specified soft tissue sarcomas,Mississippi,White,29,8417311,0.34,0.34
"X Germ-cell, trophoblastic and other gonadal neoplasms",Mississippi,White,89,8417311,1.06,1.06
X(c) Malignant gonadal germ cell tumors,Mississippi,White,58,8417311,0.6900000000000001,0.69
XI Carcinomas and other malignant epithelial neoplasms,Mississippi,White,191,8417311,2.27,2.27
XI(b) Thyroid carcinomas,Mississippi,White,73,8417311,0.87,0.87
XI(d) Malignant melanomas,Mississippi,White,61,8417311,0.7200000000000001,0.72
XI(f) Other and unspecified carcinomas,Mississippi,White,52,8417311,0.6200000000000001,0.62
I Leukemia,Missouri,Asian or Pacific Islander,34,778976,4.36,4.36
I(a) Lymphoid leukemias,Missouri,Asian or Pacific Islander,27,778976,3.4700000000000006,3.47
III CNS and misc intracranial and intraspinal neoplasms,Missouri,Asian or Pacific Islander,17,778976,2.18,2.18
I Leukemia,Missouri,Black or African American,150,5704477,2.6300000000000003,2.63
I(a) Lymphoid leukemias,Missouri,Black or African American,108,5704477,1.89,1.89
I(b) Acute myeloid leukemias,Missouri,Black or African American,29,5704477,0.51,0.51
II Lymphoma and reticuloendothelial neoplasms,Missouri,Black or African American,138,5704477,2.42,2.42
II(a) Hodgkin lymphomas,Missouri,Black or African American,63,5704477,1.1,1.1
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Missouri,Black or African American,59,5704477,1.03,1.03
III CNS and misc intracranial and intraspinal neoplasms,Missouri,Black or African American,136,5704477,2.3800000000000003,2.38
III(b) Astrocytomas,Missouri,Black or African American,65,5704477,1.1400000000000001,1.14
III(c) Intracranial and intraspinal embryonal tumors,Missouri,Black or African American,36,5704477,0.63,0.63
III(d) Other gliomas,Missouri,Black or African American,22,5704477,0.39,0.39
IV Sympathetic nervous system tumors,Missouri,Black or African American,49,5704477,0.86,0.86
IV(a) Neuroblastoma and ganglioneuroblastoma,Missouri,Black or African American,45,5704477,0.79,0.79
V Retinoblastoma,Missouri,Black or African American,19,5704477,0.33,0.33
VI Renal tumors,Missouri,Black or African American,46,5704477,0.81,0.81
VI(a) Nephroblastoma and other nonepithelial renal tumors,Missouri,Black or African American,44,5704477,0.77,0.77
VIII Malignant bone tumors,Missouri,Black or African American,36,5704477,0.63,0.63
VIII(a) Osteosarcomas,Missouri,Black or African American,34,5704477,0.6000000000000001,0.6
IX Soft-tissue sarcomas,Missouri,Black or African American,70,5704477,1.2300000000000002,1.23
IX(a) Rhabdomyosarcomas,Missouri,Black or African American,31,5704477,0.54,0.54
IX(d) Other specified soft tissue sarcomas,Missouri,Black or African American,26,5704477,0.45999999999999996,0.46
"X Germ-cell, trophoblastic and other gonadal neoplasms",Missouri,Black or African American,25,5704477,0.44000000000000006,0.44
XI Carcinomas and other malignant epithelial neoplasms,Missouri,Black or African American,60,5704477,1.05,1.05
XI(f) Other and unspecified carcinomas,Missouri,Black or African American,26,5704477,0.45999999999999996,0.46
I Leukemia,Missouri,White,1184,29508004,4.010000000000001,4.01
I(a) Lymphoid leukemias,Missouri,White,864,29508004,2.93,2.93
I(b) Acute myeloid leukemias,Missouri,White,226,29508004,0.77,0.77
I(c) Chronic myeloproliferative diseases,Missouri,White,36,29508004,0.12,0.12
I(d) Myelodysplastic syndrome and other myeloproliferative,Missouri,White,33,29508004,0.11000000000000001,0.11
I(e) Unspecified and other specified leukemias,Missouri,White,25,29508004,0.08000000000000002,0.08
II Lymphoma and reticuloendothelial neoplasms,Missouri,White,761,29508004,2.58,2.58
II(a) Hodgkin lymphomas,Missouri,White,358,29508004,1.21,1.21
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Missouri,White,236,29508004,0.8,0.8
II(c) Burkitt lymphoma,Missouri,White,75,29508004,0.25,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Missouri,White,80,29508004,0.27,0.27
III CNS and misc intracranial and intraspinal neoplasms,Missouri,White,1011,29508004,3.4299999999999997,3.43
III(a) Ependymomas and choroid plexus tumor,Missouri,White,107,29508004,0.36000000000000004,0.36
III(b) Astrocytomas,Missouri,White,521,29508004,1.77,1.77
III(c) Intracranial and intraspinal embryonal tumors,Missouri,White,185,29508004,0.63,0.63
III(d) Other gliomas,Missouri,White,169,29508004,0.5700000000000001,0.57
III(f) Unspecified intracranial and intraspinal neoplasms,Missouri,White,16,29508004,0.05,0.05
IV Sympathetic nervous system tumors,Missouri,White,246,29508004,0.8300000000000001,0.83
IV(a) Neuroblastoma and ganglioneuroblastoma,Missouri,White,239,29508004,0.81,0.81
V Retinoblastoma,Missouri,White,74,29508004,0.25,0.25
VI Renal tumors,Missouri,White,190,29508004,0.6400000000000001,0.64
VI(a) Nephroblastoma and other nonepithelial renal tumors,Missouri,White,166,29508004,0.5599999999999999,0.56
VI(b) Renal carcinomas,Missouri,White,24,29508004,0.08000000000000002,0.08
VII Hepatic tumor,Missouri,White,73,29508004,0.25,0.25
VII(a) Hepatoblastoma,Missouri,White,56,29508004,0.19,0.19
VIII Malignant bone tumors,Missouri,White,228,29508004,0.77,0.77
VIII(a) Osteosarcomas,Missouri,White,117,29508004,0.4,0.4
VIII(c) Ewing tumor and related sarcomas of bone,Missouri,White,89,29508004,0.30000000000000004,0.3
IX Soft-tissue sarcomas,Missouri,White,318,29508004,1.08,1.08
IX(a) Rhabdomyosarcomas,Missouri,White,150,29508004,0.51,0.51
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Missouri,White,35,29508004,0.12,0.12
IX(d) Other specified soft tissue sarcomas,Missouri,White,112,29508004,0.38,0.38
IX(e) Unspecified soft tissue sarcomas,Missouri,White,21,29508004,0.06999999999999999,0.07
"X Germ-cell, trophoblastic and other gonadal neoplasms",Missouri,White,327,29508004,1.11,1.11
X(a) Intracranial & intraspinal germ cell tumors,Missouri,White,39,29508004,0.13,0.13
X(b) Extracranial & extragonadal germ cell tumors,Missouri,White,44,29508004,0.15000000000000002,0.15
X(c) Malignant gonadal germ cell tumors,Missouri,White,222,29508004,0.75,0.75
X(d) Gonadal carcinomas,Missouri,White,18,29508004,0.06,0.06
XI Carcinomas and other malignant epithelial neoplasms,Missouri,White,584,29508004,1.9800000000000002,1.98
XI(b) Thyroid carcinomas,Missouri,White,245,29508004,0.8300000000000001,0.83
XI(d) Malignant melanomas,Missouri,White,147,29508004,0.5,0.5
XI(f) Other and unspecified carcinomas,Missouri,White,171,29508004,0.58,0.58
XII Other and unspecified malignant neoplasms,Missouri,White,29,29508004,0.1,0.1
XII(a) Other specified malignant tumors,Missouri,White,18,29508004,0.06,0.06
I Leukemia,Montana,American Indian or Alaska Native,36,651369,5.53,5.53
I(a) Lymphoid leukemias,Montana,American Indian or Alaska Native,25,651369,3.84,3.84
III CNS and misc intracranial and intraspinal neoplasms,Montana,American Indian or Alaska Native,22,651369,3.38,3.38
I Leukemia,Montana,White,224,5058810,4.43,4.43
I(a) Lymphoid leukemias,Montana,White,151,5058810,2.9800000000000004,2.98
I(b) Acute myeloid leukemias,Montana,White,42,5058810,0.8300000000000001,0.83
I(c) Chronic myeloproliferative diseases,Montana,White,21,5058810,0.42000000000000004,0.42
II Lymphoma and reticuloendothelial neoplasms,Montana,White,142,5058810,2.8100000000000005,2.81
II(a) Hodgkin lymphomas,Montana,White,67,5058810,1.32,1.32
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Montana,White,40,5058810,0.79,0.79
II(c) Burkitt lymphoma,Montana,White,24,5058810,0.47000000000000003,0.47
III CNS and misc intracranial and intraspinal neoplasms,Montana,White,146,5058810,2.89,2.89
III(b) Astrocytomas,Montana,White,79,5058810,1.56,1.56
III(c) Intracranial and intraspinal embryonal tumors,Montana,White,26,5058810,0.51,0.51
III(d) Other gliomas,Montana,White,25,5058810,0.49000000000000005,0.49
IV Sympathetic nervous system tumors,Montana,White,42,5058810,0.8300000000000001,0.83
IV(a) Neuroblastoma and ganglioneuroblastoma,Montana,White,42,5058810,0.8300000000000001,0.83
VI Renal tumors,Montana,White,44,5058810,0.87,0.87
VI(a) Nephroblastoma and other nonepithelial renal tumors,Montana,White,40,5058810,0.79,0.79
VIII Malignant bone tumors,Montana,White,47,5058810,0.9300000000000002,0.93
VIII(a) Osteosarcomas,Montana,White,26,5058810,0.51,0.51
VIII(c) Ewing tumor and related sarcomas of bone,Montana,White,19,5058810,0.38,0.38
IX Soft-tissue sarcomas,Montana,White,63,5058810,1.25,1.25
IX(a) Rhabdomyosarcomas,Montana,White,27,5058810,0.53,0.53
IX(d) Other specified soft tissue sarcomas,Montana,White,26,5058810,0.51,0.51
"X Germ-cell, trophoblastic and other gonadal neoplasms",Montana,White,63,5058810,1.25,1.25
X(c) Malignant gonadal germ cell tumors,Montana,White,44,5058810,0.87,0.87
XI Carcinomas and other malignant epithelial neoplasms,Montana,White,117,5058810,2.31,2.31
XI(b) Thyroid carcinomas,Montana,White,52,5058810,1.03,1.03
XI(d) Malignant melanomas,Montana,White,30,5058810,0.5900000000000001,0.59
XI(f) Other and unspecified carcinomas,Montana,White,33,5058810,0.65,0.65
I Leukemia,Nebraska,Black or African American,28,887463,3.16,3.16
I(a) Lymphoid leukemias,Nebraska,Black or African American,17,887463,1.92,1.92
II Lymphoma and reticuloendothelial neoplasms,Nebraska,Black or African American,20,887463,2.25,2.25
III CNS and misc intracranial and intraspinal neoplasms,Nebraska,Black or African American,31,887463,3.49,3.49
III(b) Astrocytomas,Nebraska,Black or African American,17,887463,1.92,1.92
I Leukemia,Nebraska,White,472,10447703,4.5200000000000005,4.52
I(a) Lymphoid leukemias,Nebraska,White,337,10447703,3.23,3.23
I(b) Acute myeloid leukemias,Nebraska,White,85,10447703,0.81,0.81
I(c) Chronic myeloproliferative diseases,Nebraska,White,20,10447703,0.19,0.19
I(d) Myelodysplastic syndrome and other myeloproliferative,Nebraska,White,22,10447703,0.21000000000000002,0.21
II Lymphoma and reticuloendothelial neoplasms,Nebraska,White,304,10447703,2.91,2.91
II(a) Hodgkin lymphomas,Nebraska,White,146,10447703,1.4000000000000001,1.4
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Nebraska,White,91,10447703,0.87,0.87
II(c) Burkitt lymphoma,Nebraska,White,30,10447703,0.29,0.29
II(d) Miscellaneous lymphoreticular neoplasms,Nebraska,White,37,10447703,0.35000000000000003,0.35
III CNS and misc intracranial and intraspinal neoplasms,Nebraska,White,387,10447703,3.7,3.7
III(a) Ependymomas and choroid plexus tumor,Nebraska,White,23,10447703,0.22000000000000003,0.22
III(b) Astrocytomas,Nebraska,White,200,10447703,1.9100000000000001,1.91
III(c) Intracranial and intraspinal embryonal tumors,Nebraska,White,83,10447703,0.79,0.79
III(d) Other gliomas,Nebraska,White,66,10447703,0.63,0.63
IV Sympathetic nervous system tumors,Nebraska,White,99,10447703,0.9500000000000001,0.95
IV(a) Neuroblastoma and ganglioneuroblastoma,Nebraska,White,97,10447703,0.9300000000000002,0.93
V Retinoblastoma,Nebraska,White,34,10447703,0.33,0.33
VI Renal tumors,Nebraska,White,70,10447703,0.67,0.67
VI(a) Nephroblastoma and other nonepithelial renal tumors,Nebraska,White,65,10447703,0.6200000000000001,0.62
VII Hepatic tumor,Nebraska,White,18,10447703,0.17,0.17
VIII Malignant bone tumors,Nebraska,White,102,10447703,0.9800000000000001,0.98
VIII(a) Osteosarcomas,Nebraska,White,56,10447703,0.54,0.54
VIII(c) Ewing tumor and related sarcomas of bone,Nebraska,White,36,10447703,0.34,0.34
IX Soft-tissue sarcomas,Nebraska,White,108,10447703,1.03,1.03
IX(a) Rhabdomyosarcomas,Nebraska,White,43,10447703,0.41,0.41
IX(d) Other specified soft tissue sarcomas,Nebraska,White,43,10447703,0.41,0.41
"X Germ-cell, trophoblastic and other gonadal neoplasms",Nebraska,White,111,10447703,1.06,1.06
X(a) Intracranial & intraspinal germ cell tumors,Nebraska,White,20,10447703,0.19,0.19
X(c) Malignant gonadal germ cell tumors,Nebraska,White,71,10447703,0.68,0.68
XI Carcinomas and other malignant epithelial neoplasms,Nebraska,White,242,10447703,2.32,2.32
XI(b) Thyroid carcinomas,Nebraska,White,111,10447703,1.06,1.06
XI(d) Malignant melanomas,Nebraska,White,48,10447703,0.45999999999999996,0.46
XI(f) Other and unspecified carcinomas,Nebraska,White,71,10447703,0.68,0.68
I Leukemia,Nevada,Asian or Pacific Islander,55,1263321,4.3500000000000005,4.35
I(a) Lymphoid leukemias,Nevada,Asian or Pacific Islander,34,1263321,2.69,2.69
II Lymphoma and reticuloendothelial neoplasms,Nevada,Asian or Pacific Islander,36,1263321,2.85,2.85
III CNS and misc intracranial and intraspinal neoplasms,Nevada,Asian or Pacific Islander,25,1263321,1.9800000000000002,1.98
I Leukemia,Nevada,Black or African American,53,1975209,2.68,2.68
I(a) Lymphoid leukemias,Nevada,Black or African American,34,1975209,1.72,1.72
II Lymphoma and reticuloendothelial neoplasms,Nevada,Black or African American,22,1975209,1.11,1.11
III CNS and misc intracranial and intraspinal neoplasms,Nevada,Black or African American,47,1975209,2.3800000000000003,2.38
III(b) Astrocytomas,Nevada,Black or African American,22,1975209,1.11,1.11
VI Renal tumors,Nevada,Black or African American,16,1975209,0.81,0.81
IX Soft-tissue sarcomas,Nevada,Black or African American,25,1975209,1.27,1.27
I Leukemia,Nevada,White,715,12410518,5.760000000000001,5.76
I(a) Lymphoid leukemias,Nevada,White,519,12410518,4.18,4.18
I(b) Acute myeloid leukemias,Nevada,White,113,12410518,0.91,0.91
I(c) Chronic myeloproliferative diseases,Nevada,White,24,12410518,0.19,0.19
I(e) Unspecified and other specified leukemias,Nevada,White,47,12410518,0.38,0.38
II Lymphoma and reticuloendothelial neoplasms,Nevada,White,327,12410518,2.6300000000000003,2.63
II(a) Hodgkin lymphomas,Nevada,White,145,12410518,1.17,1.17
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Nevada,White,119,12410518,0.96,0.96
II(c) Burkitt lymphoma,Nevada,White,32,12410518,0.26,0.26
II(d) Miscellaneous lymphoreticular neoplasms,Nevada,White,28,12410518,0.22999999999999998,0.23
III CNS and misc intracranial and intraspinal neoplasms,Nevada,White,341,12410518,2.75,2.75
III(a) Ependymomas and choroid plexus tumor,Nevada,White,32,12410518,0.26,0.26
III(b) Astrocytomas,Nevada,White,174,12410518,1.4000000000000001,1.4
III(c) Intracranial and intraspinal embryonal tumors,Nevada,White,74,12410518,0.6000000000000001,0.6
III(d) Other gliomas,Nevada,White,43,12410518,0.35000000000000003,0.35
IV Sympathetic nervous system tumors,Nevada,White,77,12410518,0.6200000000000001,0.62
IV(a) Neuroblastoma and ganglioneuroblastoma,Nevada,White,73,12410518,0.5900000000000001,0.59
V Retinoblastoma,Nevada,White,39,12410518,0.31000000000000005,0.31
VI Renal tumors,Nevada,White,81,12410518,0.65,0.65
VI(a) Nephroblastoma and other nonepithelial renal tumors,Nevada,White,77,12410518,0.6200000000000001,0.62
VII Hepatic tumor,Nevada,White,41,12410518,0.33,0.33
VII(a) Hepatoblastoma,Nevada,White,29,12410518,0.22999999999999998,0.23
VIII Malignant bone tumors,Nevada,White,103,12410518,0.8300000000000001,0.83
VIII(a) Osteosarcomas,Nevada,White,60,12410518,0.48,0.48
VIII(c) Ewing tumor and related sarcomas of bone,Nevada,White,36,12410518,0.29,0.29
IX Soft-tissue sarcomas,Nevada,White,130,12410518,1.05,1.05
IX(a) Rhabdomyosarcomas,Nevada,White,46,12410518,0.37000000000000005,0.37
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Nevada,White,16,12410518,0.13,0.13
IX(d) Other specified soft tissue sarcomas,Nevada,White,54,12410518,0.44000000000000006,0.44
"X Germ-cell, trophoblastic and other gonadal neoplasms",Nevada,White,176,12410518,1.42,1.42
X(a) Intracranial & intraspinal germ cell tumors,Nevada,White,22,12410518,0.18000000000000002,0.18
X(b) Extracranial & extragonadal germ cell tumors,Nevada,White,21,12410518,0.17,0.17
X(c) Malignant gonadal germ cell tumors,Nevada,White,120,12410518,0.97,0.97
XI Carcinomas and other malignant epithelial neoplasms,Nevada,White,243,12410518,1.9600000000000002,1.96
XI(b) Thyroid carcinomas,Nevada,White,126,12410518,1.02,1.02
XI(d) Malignant melanomas,Nevada,White,54,12410518,0.44000000000000006,0.44
XI(f) Other and unspecified carcinomas,Nevada,White,56,12410518,0.45,0.45
XII Other and unspecified malignant neoplasms,Nevada,White,16,12410518,0.13,0.13
I Leukemia,New Hampshire,White,305,7022899,4.34,4.34
I(a) Lymphoid leukemias,New Hampshire,White,227,7022899,3.23,3.23
I(b) Acute myeloid leukemias,New Hampshire,White,52,7022899,0.7400000000000001,0.74
I(c) Chronic myeloproliferative diseases,New Hampshire,White,18,7022899,0.26,0.26
II Lymphoma and reticuloendothelial neoplasms,New Hampshire,White,228,7022899,3.25,3.25
II(a) Hodgkin lymphomas,New Hampshire,White,104,7022899,1.4800000000000002,1.48
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),New Hampshire,White,82,7022899,1.17,1.17
II(d) Miscellaneous lymphoreticular neoplasms,New Hampshire,White,24,7022899,0.34,0.34
III CNS and misc intracranial and intraspinal neoplasms,New Hampshire,White,272,7022899,3.8700000000000006,3.87
III(a) Ependymomas and choroid plexus tumor,New Hampshire,White,24,7022899,0.34,0.34
III(b) Astrocytomas,New Hampshire,White,144,7022899,2.0500000000000003,2.05
III(c) Intracranial and intraspinal embryonal tumors,New Hampshire,White,48,7022899,0.68,0.68
III(d) Other gliomas,New Hampshire,White,48,7022899,0.68,0.68
IV Sympathetic nervous system tumors,New Hampshire,White,57,7022899,0.81,0.81
IV(a) Neuroblastoma and ganglioneuroblastoma,New Hampshire,White,56,7022899,0.8,0.8
VI Renal tumors,New Hampshire,White,44,7022899,0.63,0.63
VI(a) Nephroblastoma and other nonepithelial renal tumors,New Hampshire,White,42,7022899,0.6000000000000001,0.6
VII Hepatic tumor,New Hampshire,White,17,7022899,0.24,0.24
VIII Malignant bone tumors,New Hampshire,White,77,7022899,1.1,1.1
VIII(a) Osteosarcomas,New Hampshire,White,42,7022899,0.6000000000000001,0.6
VIII(c) Ewing tumor and related sarcomas of bone,New Hampshire,White,27,7022899,0.38,0.38
IX Soft-tissue sarcomas,New Hampshire,White,81,7022899,1.1500000000000001,1.15
IX(a) Rhabdomyosarcomas,New Hampshire,White,23,7022899,0.33,0.33
IX(d) Other specified soft tissue sarcomas,New Hampshire,White,37,7022899,0.53,0.53
"X Germ-cell, trophoblastic and other gonadal neoplasms",New Hampshire,White,79,7022899,1.1199999999999999,1.12
X(c) Malignant gonadal germ cell tumors,New Hampshire,White,49,7022899,0.7000000000000001,0.7
XI Carcinomas and other malignant epithelial neoplasms,New Hampshire,White,197,7022899,2.8100000000000005,2.81
XI(b) Thyroid carcinomas,New Hampshire,White,69,7022899,0.9800000000000001,0.98
XI(d) Malignant melanomas,New Hampshire,White,66,7022899,0.9400000000000001,0.94
XI(f) Other and unspecified carcinomas,New Hampshire,White,60,7022899,0.8500000000000001,0.85
I Leukemia,New Jersey,Asian or Pacific Islander,243,4791109,5.07,5.07
I(a) Lymphoid leukemias,New Jersey,Asian or Pacific Islander,184,4791109,3.84,3.84
I(b) Acute myeloid leukemias,New Jersey,Asian or Pacific Islander,34,4791109,0.71,0.71
II Lymphoma and reticuloendothelial neoplasms,New Jersey,Asian or Pacific Islander,114,4791109,2.3800000000000003,2.38
II(a) Hodgkin lymphomas,New Jersey,Asian or Pacific Islander,51,4791109,1.06,1.06
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),New Jersey,Asian or Pacific Islander,34,4791109,0.71,0.71
